Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
178.618	1.44403	179.338	2.26715	178.958	1.89459	3.3912	178.438	1.92233	1.5072
179.458	1.44269	179.898	1.89621	179.658	1.72529	2.0724	179.378	1.8942	0.5652
180.218	1.35681	181.178	1.83047	180.678	1.73646	4.5216	180.038	1.65219	1.5072
181.698	1.64621	182.098	2.03537	181.878	1.82929	1.884	181.418	1.59891	2.4492
182.578	1.59866	182.938	2.19495	182.738	1.77946	1.6956	182.318	1.79838	2.2608
183.338	1.26459	184.178	1.91846	183.738	1.72038	3.9564	183.118	1.64564	1.884
184.298	1.53094	184.938	1.87967	184.598	1.78177	3.0144	184.218	1.78484	0.5652
185.058	1.55084	185.658	2.14731	185.338	1.86322	2.826	184.978	1.74932	0.5652
185.938	1.40997	186.578	2.07352	186.238	1.75333	3.0144	185.778	1.76873	1.3188
186.978	1.48477	187.818	1.91788	187.378	1.81127	3.9564	186.758	1.60134	1.884
188.378	1.30692	189.458	2.20224	188.898	1.78431	5.0868	188.078	1.63919	2.6376
189.858	1.60062	190.058	1.98315	189.938	1.78034	0.942	189.638	1.80306	1.884
191.498	1.65027	191.778	1.98773	191.618	1.84093	1.3188	190.758	1.64659	6.7824
192.058	1.36407	192.578	1.88135	192.298	1.66288	2.4492	191.898	1.76811	1.3188
192.698	1.60092	193.138	1.91852	192.898	1.76422	2.0724	192.618	1.75751	0.5652
193.378	1.50739	193.538	1.82092	193.438	1.64915	0.7536	193.238	1.71299	1.1304
194.058	1.50552	194.778	2.25802	194.398	1.92856	3.3912	193.778	1.62528	2.4492
194.898	1.45059	195.178	1.96716	195.018	1.6967	1.3188	194.818	1.91157	0.5652
195.578	1.67371	195.698	1.8212	195.618	1.72403	0.5652	195.358	1.61753	1.884
195.898	1.44315	196.378	1.95285	196.118	1.67069	2.2608	195.778	1.61376	0.942
196.538	1.34262	197.258	1.88827	196.878	1.71697	3.3912	196.438	1.61965	0.7536
197.818	1.41666	198.178	1.82779	197.978	1.6084	1.6956	197.518	1.67256	2.6376
198.698	1.6915	200.138	2.03653	199.398	1.90759	6.7824	198.418	1.59938	2.4492
200.378	1.2746	201.018	1.89484	200.678	1.65712	3.0144	200.238	1.6816	1.1304
201.218	1.65945	201.498	1.90271	201.338	1.76041	1.3188	201.098	1.78947	0.942
201.618	1.33414	202.018	1.83353	201.798	1.64618	1.884	201.538	1.7615	0.5652
202.218	1.28665	203.138	1.86777	202.658	1.77821	4.3332	202.098	1.57674	0.942
203.418	1.49316	203.698	1.92355	203.538	1.71644	1.3188	203.258	1.69274	1.3188
203.938	1.28259	204.418	1.98505	204.158	1.59936	2.2608	203.798	1.65355	1.1304
205.738	1.21905	206.418	1.97034	206.058	1.67639	3.2028	205.058	1.62136	6.2172
206.618	1.62515	206.858	1.90112	206.718	1.73442	1.1304	206.498	1.80864	0.942
207.538	1.46014	208.098	1.95788	207.798	1.7379	2.6376	207.178	1.61257	3.2028
208.378	1.45605	208.898	2.02136	208.618	1.72651	2.4492	208.218	1.63978	1.3188
209.338	1.69751	209.898	1.93921	209.598	1.82508	2.6376	209.098	1.60633	2.0724
210.098	1.51535	210.618	1.93085	210.338	1.72863	2.4492	209.978	1.68909	0.942
211.778	1.35257	212.338	1.86157	212.038	1.62882	2.6376	211.178	1.66965	5.4636
212.698	1.64801	213.138	1.86804	212.898	1.7937	2.0724	212.498	1.69418	1.6956
213.338	1.37009	214.498	2.04932	213.898	1.76361	5.4636	213.218	1.63099	0.942
215.458	1.6944	216.178	1.80392	215.798	1.82677	3.3912	214.958	1.56182	4.5216
216.458	1.6337	216.538	1.80985	216.478	1.65386	0.3768	216.298	1.72242	1.3188
217.018	1.33444	217.538	1.90125	217.258	1.64125	2.4492	216.758	1.56405	2.2608
217.738	1.2879	218.258	1.93487	217.978	1.62752	2.4492	217.618	1.65525	0.942
218.818	1.57089	219.138	2.02212	218.958	1.7819	1.5072	218.518	1.7018	2.6376
219.658	1.65253	220.138	1.90381	219.878	1.81165	2.2608	219.378	1.59322	2.4492
220.298	1.51395	220.658	1.85053	220.458	1.69519	1.6956	220.198	1.7724	0.7536
221.378	1.5657	221.898	1.9845	221.618	1.76675	2.4492	220.998	1.55504	3.3912
222.138	1.43134	222.418	1.87567	222.258	1.66695	1.3188	221.998	1.8634	1.1304
222.538	1.57025	222.858	1.98792	222.678	1.81483	1.5072	222.458	1.80309	0.5652
223.418	1.42496	223.738	1.86178	223.558	1.65129	1.5072	223.118	1.62113	2.6376
224.258	1.62088	224.538	1.89136	224.378	1.75064	1.3188	223.978	1.59246	2.4492
224.978	1.59253	225.418	2.0141	225.178	1.83159	2.0724	224.738	1.76675	2.0724
225.658	1.40216	226.498	1.93307	226.058	1.79146	3.9564	225.518	1.66927	1.1304
227.298	1.39551	227.858	1.89429	227.558	1.65115	2.6376	226.878	1.6234	3.768
228.538	1.40604	229.138	1.94968	228.818	1.67892	2.826	228.178	1.6792	3.2028
230.378	1.43817	231.338	2.20905	230.838	1.83014	4.5216	229.738	1.64352	5.8404
231.938	1.46964	233.298	1.87515	232.598	1.90024	6.4056	231.618	1.61946	2.826
233.418	1.37823	234.418	2.0589	233.898	1.82856	4.71	233.338	1.65982	0.5652
234.698	1.54141	234.978	1.86777	234.818	1.71737	1.3188	234.538	1.68563	1.3188
235.978	1.66406	236.418	1.8396	236.178	1.84268	2.0724	235.458	1.5759	4.71
237.538	1.43533	237.938	2.00818	237.718	1.68812	1.884	236.958	1.60876	5.2752
238.098	1.56226	238.378	1.89627	238.218	1.72797	1.3188	237.998	1.85249	0.7536
238.738	1.66391	239.258	2.00238	238.978	1.87821	2.4492	238.538	1.64673	1.6956
239.538	1.41296	240.458	2.22824	239.978	1.85561	4.3332	239.378	1.85083	1.3188
241.338	1.33612	242.098	2.10272	241.698	1.70448	3.5796	240.878	1.79211	4.1448
242.218	1.63248	242.538	2.00351	242.358	1.78716	1.5072	242.138	1.8696	0.5652
242.738	1.37506	243.258	1.91415	242.978	1.65815	2.4492	242.618	1.78322	0.942
243.418	1.43183	243.898	1.92902	243.638	1.73571	2.2608	243.318	1.74257	0.7536
244.298	1.59512	244.658	1.86075	244.458	1.73498	1.6956	244.078	1.57316	1.884
245.018	1.66116	245.538	2.09161	245.258	1.80056	2.4492	244.818	1.63674	1.6956
245.778	1.38443	246.378	1.84406	246.058	1.66287	2.826	245.638	1.66514	1.1304
246.618	1.64197	247.018	2.13806	246.798	1.82247	1.884	246.478	1.68566	1.1304
247.738	1.38922	248.338	2.03131	248.018	1.67538	2.826	247.358	1.70844	3.3912
248.938	1.25281	249.538	1.88226	249.218	1.64836	2.826	248.618	1.71444	2.826
249.658	1.4353	250.578	2.05618	250.098	1.84308	4.3332	249.578	1.78368	0.5652
251.218	1.43295	251.738	1.90512	251.458	1.69854	2.4492	250.878	1.62481	3.0144
252.018	1.58771	252.138	1.83148	252.058	1.66077	0.5652	251.858	1.65114	1.3188
252.338	1.35632	252.778	1.9512	252.538	1.64154	2.0724	252.218	1.57005	0.942
253.298	1.46786	253.778	2.08579	253.518	1.74994	2.2608	253.018	1.82488	2.4492
254.018	1.41318	254.658	1.86087	254.318	1.70726	3.0144	253.878	1.78831	1.1304
254.818	1.42438	255.418	1.95236	255.098	1.73836	2.826	254.718	1.73135	0.7536
255.658	1.22788	256.178	1.94098	255.898	1.54558	2.4492	255.518	1.63442	1.1304
256.458	1.40897	257.178	1.92062	256.798	1.7161	3.3912	256.298	1.79829	1.3188
257.618	1.60928	258.258	2.16226	257.918	1.8845	3.0144	257.378	1.58454	2.0724
258.458	1.50366	258.738	1.86035	258.578	1.64108	1.3188	258.338	1.81536	0.942
258.938	1.31799	259.498	1.92944	259.198	1.66658	2.6376	258.818	1.69675	0.942
260.058	1.68347	260.378	2.01694	260.198	1.81522	1.5072	259.758	1.70521	2.6376
261.298	1.65512	262.098	2.27954	261.678	1.90575	3.768	260.818	1.62719	4.3332
262.418	1.39627	263.778	1.93411	263.078	1.76132	6.4056	262.238	1.86521	1.5072
263.978	1.63934	264.098	1.92538	264.018	1.74852	0.5652	263.858	1.81635	0.942
264.258	1.43164	265.178	2.11395	264.698	1.7805	4.3332	264.158	1.7554	0.7536
265.578	1.49194	265.818	1.80386	265.678	1.65727	1.1304	265.358	1.58425	1.884
266.018	1.2872	266.938	1.87201	266.458	1.73237	4.3332	265.898	1.59831	0.942
267.178	1.608	267.538	1.87402	267.338	1.73463	1.6956	267.038	1.61715	1.1304
268.018	1.68198	268.138	1.88626	268.058	1.73603	0.5652	267.758	1.66336	2.2608
268.658	1.46927	269.218	2.05374	268.918	1.7781	2.6376	268.378	1.55118	2.4492
